              0              0    0.000150466         332300             50
              1              0     0.00792356         332300           2633
              2              0      0.0417454         332300          13872
              3              0      0.0056455         332300           1876
              4              0      0.0173849         332300           5777
              5              0      0.0275594         332300           9158
              6              0      0.0982817         332300          32659
              7              0     0.00874511         332300           2906
            min              0    0.000150466         332300             50
            max              0      0.0982817         332300          32659
           mean              0      0.0259295         332300           8616
              0              5    0.000113904         447744             51
              1              5     0.00143162         447744            641
              2              5      0.0326928         447744          14638
              3              5     0.00393975         447744           1764
              4              5     0.00295928         447744           1325
              5              5      0.0138293         447744           6192
              6              5      0.0312969         447744          14013
              7              5     0.00563715         447744           2524
            min              5    0.000113904         447744             51
            max              5      0.0326928         447744          14638
           mean              5      0.0114876         447744           5143
              0             10    3.83977e-05        1302160             50
              1             10     0.00650151        1302160           8466
              2             10      0.0110777        1302160          14425
              3             10     0.00786462        1302160          10241
              4             10     0.00084475        1302160           1100
              5             10     0.00907876        1302160          11822
              6             10     0.00616591        1302160           8029
              7             10      0.0142886        1302160          18606
            min             10    3.83977e-05        1302160             50
            max             10      0.0142886        1302160          18606
           mean             10     0.00698253        1302160           9092
              0             15    2.43962e-05        2049496             50
              1             15     0.00109442        2049496           2243
              2             15     0.00235375        2049496           4824
              3             15      0.0020971        2049496           4298
              4             15    0.000324958        2049496            666
              5             15      0.0018468        2049496           3785
              6             15     0.00109783        2049496           2250
              7             15     0.00349452        2049496           7162
            min             15    2.43962e-05        2049496             50
            max             15     0.00349452        2049496           7162
           mean             15     0.00154172        2049496           3159
              0             20    2.45339e-05        2078756             51
              1             20    0.000228502        2078756            475
              2             20    0.000476727        2078756            991
              3             20    0.000480576        2078756            999
              4             20    4.47383e-05        2078756             93
              5             20    0.000354058        2078756            736
              6             20    0.000192904        2078756            401
              7             20    0.000666264        2078756           1385
            min             20    2.45339e-05        2078756             51
            max             20    0.000666264        2078756           1385
           mean             20    0.000308538        2078756            641
              0             25    0.000162869        2517368            410
              1             25    2.78068e-05        2517368             70
              2             25    9.77211e-05        2517368            246
              3             25    0.000106858        2517368            269
              4             25     1.9862e-05        2517368             50
              5             25    4.76688e-05        2517368            120
              6             25    2.06565e-05        2517368             52
              7             25    8.54067e-05        2517368            215
            min             25     1.9862e-05        2517368             50
            max             25    0.000162869        2517368            410
           mean             25     7.1106e-05        2517368            179
