              0              0      0.0930101           3548            330
              1              0      0.0169109           3548             60
              2              0      0.0639797           3548            227
              3              0      0.0152198           3548             54
              4              0      0.0445321           3548            158
              5              0      0.0208568           3548             74
              6              0      0.0273393           3548             97
              7              0      0.0140924           3548             50
            min              0      0.0140924           3548             50
            max              0      0.0930101           3548            330
           mean              0      0.0369927           3548            131
              0              5      0.0296223          10060            298
              1              5     0.00497018          10060             50
              2              5      0.0338966          10060            341
              3              5      0.0187873          10060            189
              4              5      0.0149105          10060            150
              5              5      0.0159046          10060            160
              6              5      0.0151093          10060            152
              7              5      0.0055666          10060             56
            min              5     0.00497018          10060             50
            max              5      0.0338966          10060            341
           mean              5      0.0173459          10060            174
              0             10     0.00718808          15164            109
              1             10     0.00685835          15164            104
              2             10      0.0104854          15164            159
              3             10     0.00573727          15164             87
              4             10     0.00738591          15164            112
              5             10     0.00989185          15164            150
              6             10     0.00725402          15164            110
              7             10     0.00329728          15164             50
            min             10     0.00329728          15164             50
            max             10      0.0104854          15164            159
           mean             10     0.00726227          15164            110
              0             15     0.00291286          49436            144
              1             15     0.00216441          49436            107
              2             15     0.00291286          49436            144
              3             15     0.00103164          49436             51
              4             15     0.00378267          49436            187
              5             15     0.00392427          49436            194
              6             15     0.00178008          49436             88
              7             15     0.00169917          49436             84
            min             15     0.00103164          49436             51
            max             15     0.00392427          49436            194
           mean             15     0.00252599          49436            124
              0             20    0.000664119         171656            114
              1             20    0.000332059         171656             57
              2             20    0.000716549         171656            123
              3             20     0.00029128         171656             50
              4             20    0.000588386         171656            101
              5             20    0.000693247         171656            119
              6             20    0.000541781         171656             93
              7             20     0.00109521         171656            188
            min             20     0.00029128         171656             50
            max             20     0.00109521         171656            188
           mean             20    0.000615329         171656            105
              0             25    0.000125584         597208             75
              1             25    0.000100468         597208             60
              2             25     0.00012391         597208             74
              3             25    0.000103816         597208             62
              4             25    0.000117212         597208             70
              5             25    0.000113863         597208             68
              6             25    8.37229e-05         597208             50
              7             25    0.000175818         597208            105
            min             25    8.37229e-05         597208             50
            max             25    0.000175818         597208            105
           mean             25    0.000118049         597208             70
