              0              0      0.0171026            994             17
              1              0       0.247485            994            246
              2              0      0.0100604            994             10
              3              0       0.083501            994             83
            min              0      0.0100604            994             10
            max              0       0.247485            994            246
           mean              0      0.0895372            994             89
              0              5     0.00477358          31004            148
              1              5      0.0244162          31004            757
              2              5    0.000322539          31004             10
              3              5      0.0796994          31004           2471
            min              5    0.000322539          31004             10
            max              5      0.0796994          31004           2471
           mean              5      0.0273029          31004            846
              0             10     0.00787173         103154            812
              1             10     0.00372259         103154            384
              2             10    9.69424e-05         103154             10
              3             10      0.0377106         103154           3890
            min             10    9.69424e-05         103154             10
            max             10      0.0377106         103154           3890
           mean             10      0.0123505         103154           1274
              0             15      0.0035508         200800            713
              1             15    0.000453187         200800             91
              2             15    4.98008e-05         200800             10
              3             15     0.00701693         200800           1409
            min             15    4.98008e-05         200800             10
            max             15     0.00701693         200800           1409
           mean             15     0.00276768         200800            555
              0             20     0.00131404         400292            526
              1             20    2.49818e-05         400292             10
              2             20    9.99271e-05         400292             40
              3             20     0.00105923         400292            424
            min             20    2.49818e-05         400292             10
            max             20     0.00131404         400292            526
           mean             20    0.000624544         400292            250
              0             25    0.000149844         580604             87
              1             25    2.75575e-05         580604             16
              2             25    1.72234e-05         580604             10
              3             25    8.78396e-05         580604             51
            min             25    1.72234e-05         580604             10
            max             25    0.000149844         580604             87
           mean             25    7.06161e-05         580604             41
