              0              0       0.121849            238             29
              1              0        0.37395            238             89
              2              0      0.0420168            238             10
              3              0       0.109244            238             26
            min              0      0.0420168            238             10
            max              0        0.37395            238             89
           mean              0       0.161765            238             38
              0              5       0.117647            238             28
              1              5       0.348739            238             83
              2              5      0.0420168            238             10
              3              5      0.0546218            238             13
            min              5      0.0420168            238             10
            max              5       0.348739            238             83
           mean              5       0.140756            238             33
              0             10       0.105042            238             25
              1             10       0.336134            238             80
              2             10      0.0420168            238             10
              3             10      0.0504202            238             12
            min             10      0.0420168            238             10
            max             10       0.336134            238             80
           mean             10       0.133403            238             31
              0             15       0.102564            234             24
              1             15        0.32906            234             77
              2             15       0.042735            234             10
              3             15      0.0470085            234             11
            min             15       0.042735            234             10
            max             15        0.32906            234             77
           mean             15       0.130342            234             30
              0             20      0.0940171            234             22
              1             20       0.324786            234             76
              2             20       0.042735            234             10
              3             20      0.0470085            234             11
            min             20       0.042735            234             10
            max             20       0.324786            234             76
           mean             20       0.127137            234             29
              0             25      0.0940171            234             22
              1             25       0.324786            234             76
              2             25       0.042735            234             10
              3             25      0.0512821            234             12
            min             25       0.042735            234             10
            max             25       0.324786            234             76
           mean             25       0.128205            234             30
